"country,co",untry_l,ong,,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
"USA,United",States,of,America,12 Applegate Solar LLC,USA0059371,1.9,40.2003,-74.5761,Solar,,,,2012,SunRay Power LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,2.41461,2.35,2.43,2.492,2.276,
"USA,United",States,of,America,126 Grove Solar LLC,USA0060858,2,42.0761,-71.4227,Solar,,,,2012,126 Grove Solar LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,2.416,2.251,
"USA,United",States,of,America,1420 Coil Av #C,USA0057310,1.3,33.7943,-118.2414,Solar,,,,2011,Konoike Pacific,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,1.528,2.149,1.515,1.592,1.66,
"USA,United",States,of,America,145 Talmadge Solar,USA0057458,3.8,40.5358,-74.3913,Solar,,,,2011,Avidan Energy Solutions,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,5.036,4.524,4.802,5.051,4.819,
"USA,United",States,of,America,1515 S Caron Road,USA0007770,4.2,41.9084,-89.0466,Gas,,,,2000,Rochelle Municipal Utilities,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,0.215,0.178,0.271,0.306,0.264,
"USA,United",States,of,America,158th Fighter Wing Solar Farm,USA0060542,1.3,44.4777,-73.1534,Solar,,,,2011,158th Fighter Wing,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,1.655,1.616,
"USA,United",States,of,America,1634 Solar,USA0061935,0,34.3368,-80.0815,,,,,,1634 Solar  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,,
"USA,United",States,of,America,180 Raritan Solar,USA0058187,1.9,40.5161,-74.34,Solar,,,,2012,180 Raritan Energy Solutions  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,2.741,2.584,2.526,2.659,2.547,
"USA,United",States,of,America,191 Peachtree Tower,USA0054818,2.4,33.7583,-84.3869,Oil,,,,1991,Banyan St./GAP 191 Peachtree Owner  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,0,0,0,0,0,
"USA,United",States,of,America,2 AC Station,USA0010211,0,41.6628,-87.4444,,,,,,ArcelorMittal USA Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,,
"USA,United",States,of,America,201 Sturbridge B,USA0059822,2,42.1091,-72.1712,Solar,,,,2014,SE Solarne2 LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,2.969,2.979,2.835,2.722,
"USA,United",States,of,America,205 Sturbridge A,USA0059821,3,42.1093,-72.1705,Solar,,,,2014,SH Solarne2 LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,2.969,5.326,5.319,5.041,
"USA,United",States,of,America,2081 Terzian Solar Project,USA0058918,1.2,36.67,-119.4158,Solar,,,,2014,Solarenewal LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,1.918,3.444,2.601,3.016,
"USA,United",States,of,America,2097 Helton Solar Project,USA0058920,1.5,37.3522,-120.5069,Solar,,,,2014,Solarenewal LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,0.208,3.999,3.798,3.626,
"USA,United",States,of,America,2127 Harris Solar Project,USA0058919,1.3,39.2917,-121.6697,Solar,,,,2014,Solarenewal LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,0.792,2.88,2.712,2.646,
"USA,United",States,of,America,231 Dixon 74 Solar I  LLC,USA0061195,2,35.2441,-81.4304,Solar,,,,2017,Soltage LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,1.207,
"USA,United",States,of,America,24 Applegate Solar LLC,USA0059365,4.9,40.2058,-74.5797,Solar,,,,2014,SunRay Power LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,5.734,1.742,1.667,5.259,
"USA,United",States,of,America,2555 E Olympic Bl,USA0057871,1,34.0269,-118.2242,Solar,,,,2012,Los Angeles Department of Water & Power,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,1.894,1.341,1.235,1.78,1.35,
"USA,United",States,of,America,265 Pleasant Solar NG  LLC,USA0059485,2.2,42.5814,-71.7622,Solar,,,,2014,NuGen Capital Management,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,0.523,1.479,1.5,1.372,
"USA,United",States,of,America,301 Chestnut Solar NG,USA0061518,4.3,42.0552,-72.5218,Solar,,,,2017,301 Chestnut Solar NG  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,1.847,
"USA,United",States,of,America,350 Clark Solar  NG  LLC,USA0061224,1.8,40.8942,-74.7302,Solar,,,,2011,350 Clark Solar NG  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,2.167,1.143,
"USA,United",States,of,America,4 AC Station,USA0010474,0,41.68,-87.4264,,,,,,ArcelorMittal USA Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,,
"USA,United",States,of,America,4 Applegate Solar LLC,USA0059370,1.8,40.1964,-74.5836,Solar,,,,2012,SunRay Power LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,2.24037,2.028,2.159,2.265,1.93,
"USA,United",States,of,America,433 Purchase Solar NG  LLC,USA0061237,2.5,41.8094,-71.1922,Solar,,,,2012,433 Purchase Solar NG  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,4.219,3.662,
"USA,United",States,of,America,45 Mile Hydroelectric Project,USA0058455,3,44.5281,-121.1528,Hydro,,,,2015,EBD Hydro LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,5.561,7.332,6.349,
"USA,United",States,of,America,491 E 48th Street,USA0007268,161.7,42.7553,-86.0853,Gas,Oil,,,1996.131107,City of Holland,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,14.308,14.985,0,14.034,66.843,
"USA,United",States,of,America,4Oaks,USA0059534,5,35.4325,-78.4117,Solar,,,,2015,Greenbacker Renewable Energy Corporation,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,3.836,9.354,2.747,
"USA,United",States,of,America,500 Virginia Solar,USA0057640,1,40.1392,-75.1917,Solar,,,,2011,500 Virginia Solar  LP,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,1.129,1.103,1.238,1.174,
"USA,United",States,of,America,500MW CC,USA0056196,528,40.7889,-73.9069,Gas,Cogeneration,Oil,,2006,New York Power Authority,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,3371.908049,3307.582007,2891.433025,2722.323019,2223.712995,
"USA,United",States,of,America,510 REPP One,USA0057363,1.3,36.4972,-77.6058,Solar,,,,2014,510 REPP One LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,0.387,1.929,1.968,1.447,
"USA,United",States,of,America,59th Street,USA0002503,17.1,40.7713,-73.9912,Gas,Oil,,,1969,Consolidated Edison Co-NY Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,0.402,0.293,0,0,0.093,
"USA,United",States,of,America,651 Chase Solar NG,USA0059046,2.5,42.6267,-71.7428,Solar,,,,2014,651 Chase Solar NG LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,1.611,4.226,4.2,4.034,
"USA,United",States,of,America,7-Mile Ridge Wind Project,USA0060814,0,63.2107,-143.2472,,,,,,Alaska Power and Telephone Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,,
"USA,United",States,of,America,74th Street,USA0002504,37,40.768,-73.9515,Oil,,,,1968,Consolidated Edison Co-NY Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,0.181,0.694,0.559,0.521,0.504,
"USA,United",States,of,America,85 A,USA0052162,14.1,35.1011,-118.3372,Wind,,,,1985,AES Wind Generation Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,18.64,16.839,13.347,16.012,16.521,
"USA,United",States,of,America,85 B,USA0052163,21.2,35.1011,-118.3372,Wind,,,,1985,AES Wind Generation Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,25.968,22.336,17.296,20.601,16.355,
