time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1991-08-17T20:55:56.680Z,40.2498333,-124.2476667,10.72,3.9,ml,31,189,0.08378,0.17,nc,nc228045,2016-12-18T14:44:29.540Z,"Northern California",earthquake,0.69,0.4,,0,reviewed,nc,nc
1991-08-17T20:17:25.350Z,40.292,-124.3568333,7.93,3.64,md,22,220,0.1748,0.08,nc,nc228042,2016-12-18T14:43:56.120Z,"offshore Northern California",earthquake,0.69,0.44,0.18,82,reviewed,nc,nc
1991-08-17T20:00:42.220Z,40.2576667,-124.2531667,6.7,3.5,md,24,198,0.09279,0.05,nc,nc228039,2016-12-18T14:43:32.230Z,"Northern California",earthquake,0.32,0.25,0.14,40,reviewed,nc,nc
1991-08-17T19:36:59.820Z,40.2535,-124.4143333,4.091,3.57,md,11,239,0.2784,0.08,nc,nc1188631,2016-12-18T14:42:12.474Z,"offshore Northern California",earthquake,1.79,2.18,0.41,9,reviewed,nc,nc
1991-08-17T19:29:40.000Z,40.2516667,-124.2858333,8.32,6,ml,32,196,0.1063,0.09,nc,nc228027,2017-04-26T17:45:59.979Z,"Northern California",earthquake,0.36,0.41,,0,reviewed,nc,nc
1991-08-15T16:00:00.310Z,37.0873333,-116.0018333,0.01,3.98,ml,18,310,,0.25,ci,ci699182,2016-04-02T02:30:20.640Z,"70km ENE of Beatty, NV",nuclear explosion,99,31.61,0.198,10,reviewed,ci,ci
1991-08-14T06:38:34.210Z,29.45,-114.013,5,4.6,mb,,,,1.3,us,usp0004vb4,2014-11-07T00:49:05.082Z,"Baja California, Mexico",earthquake,,,,10,reviewed,us,us
1991-08-12T21:11:50.020Z,38.286,-118.746,3.599,4.49,ml,0,236.9,,0.223,ci,ci2026378,2016-02-04T23:21:49.720Z,"29km SSW of Hawthorne, NV",earthquake,,,,8,reviewed,ci,ci
1991-08-09T08:49:29.000Z,38.7778333,-111.6015,7.1,3.51,md,14,82,0.139,0.16,uu,uu50059345,2018-08-28T04:25:35.330Z,"Utah",earthquake,0.4,0.85,,9,reviewed,uu,uu
1991-08-08T18:31:49.730Z,37.5453333,-118.8571667,7.144,3.5,ml,37,95,0.05135,0.05,nc,nc226309,2016-12-18T14:00:10.090Z,"Central California",earthquake,0.25,0.53,,0,reviewed,nc,nc
1991-08-07T12:49:16.660Z,43.502,-108.861,5,3.5,ml,,,,0.9,us,usp0004v34,2014-11-07T00:49:03.913Z,"Wyoming",earthquake,,,,,reviewed,us,but
1991-08-05T05:59:48.940Z,28.39,-112.152,10,3.9,mb,,,,1.4,us,usp0004v0j,2014-11-07T00:49:03.091Z,"Gulf of California",earthquake,,,,1,reviewed,us,us
1991-08-03T09:59:49.870Z,34.093,-117.312,16.442,3.6,ml,0,25.7,,0.138,ci,ci698180,2016-02-04T22:47:43.580Z,"2km N of Colton, CA",earthquake,,0.047,,31,reviewed,ci,ci
1991-08-02T16:58:24.870Z,26.73,-112.409,10,4,mb,,,,0.8,us,usp0004ux5,2014-11-07T00:49:02.164Z,"Baja California Sur, Mexico",earthquake,,,,1,reviewed,us,us
1991-07-29T04:07:10.900Z,41.7795,-124.6606667,27.954,4.3,ml,34,284,0.5892,0.4,nc,nc225648,2016-12-18T13:30:07.705Z,"offshore Northern California",earthquake,7.73,3,,0,reviewed,nc,nc
1991-07-23T04:34:33.190Z,38.826,-122.773,1.863,3.5,ml,51,44,0.02523,0.06,nc,nc225526,2016-12-18T13:13:52.000Z,"Northern California",earthquake,0.11,1.1,,0,reviewed,nc,nc
1991-07-22T09:04:38.570Z,45.6378333,-122.8693333,19.139,3.5,md,39,73,0.0923,0.18,uw,uw10281053,2016-07-23T22:27:13.570Z,"Oregon",earthquake,0.546,1.05,0.01,15,reviewed,uw,uw
1991-07-20T23:38:19.210Z,28.908,-98.042,10,3.6,mblg,,,,0.1,us,usp0004ue9,2014-11-07T00:48:56.225Z,"southern Texas",earthquake,,,,,reviewed,us,gs/
1991-07-20T21:41:04.420Z,38.4075,-122.6668333,9.681,3.5,ml,65,53,0.01892,0.14,nc,nc225044,2016-12-18T13:06:41.670Z,"Northern California",earthquake,0.18,0.38,,0,reviewed,nc,nc
1991-07-19T02:41:36.810Z,33.212,-115.968,3.103,4.12,ml,0,27.1,,0.15,ci,ci697556,2016-02-05T00:18:19.440Z,"10km S of Salton City, CA",earthquake,,0.057,,27,reviewed,ci,ci
1991-07-18T06:40:21.870Z,47.817,-113.754,5,3.5,mb,,,,0.5,us,usp0004uab,2014-11-07T00:48:55.663Z,"western Montana",earthquake,,,,1,reviewed,us,us
1991-07-17T05:12:48.360Z,27.808,-111.66,10,4.7,mb,,,,1.6,us,usp0004u8z,2014-11-07T00:48:55.494Z,"Gulf of California",earthquake,,,,6,reviewed,us,us
1991-07-14T07:46:11.030Z,41.0228333,-124.4708333,-0.812,3.56,md,8,258,0.3649,0.27,nc,nc224340,2016-12-18T12:47:29.894Z,"offshore Northern California",earthquake,3.91,4.3,0.05,3,reviewed,nc,nc
1991-07-12T15:15:58.380Z,37.847,-121.7803333,15.878,3.5,ml,79,61,0.04054,0.1,nc,nc224208,2016-12-18T12:41:58.180Z,"San Francisco Bay area, California",earthquake,0.15,0.2,,0,reviewed,nc,nc
1991-07-09T09:06:11.500Z,33.492,-116.424,6.401,3.81,ml,0,26.4,,0.134,ci,ci2022070,2016-02-05T00:07:03.130Z,"22km SSW of La Quinta, CA",earthquake,,0.034,,40,reviewed,ci,ci
1991-07-08T15:23:04.930Z,38.7908333,-122.7583333,1.971,3.6,ml,53,30,0.03333,0.06,nc,nc223875,2016-12-18T12:25:38.120Z,"Northern California",earthquake,0.12,0.65,,0,reviewed,nc,nc
1991-07-07T21:24:03.600Z,36.685,-91.567,7.8,3.9,md,,,,,nm,nm603887,2016-04-14T18:58:26.813Z,"15km W of Alton, Missouri",earthquake,,,,,reviewed,nm,nm
1991-07-06T22:54:38.100Z,34.242,-118.01,8.755,3.98,ml,0,15.3,,0.116,ci,ci2022072,2016-02-04T23:55:39.510Z,"10km NNE of Sierra Madre, CA",earthquake,,0.008,,23,reviewed,ci,ci
1991-07-05T17:41:57.120Z,34.497,-118.556,9.887,4.13,ml,0,15.4,,0.162,ci,ci2022113,2016-02-04T22:35:58.390Z,"5km NNE of Valencia, CA",earthquake,,0.041,,34,reviewed,ci,ci
1991-07-05T01:47:36.700Z,45.232,-73.896,18,3.8,mblg,,,,,us,usp0004tt6,2014-11-07T00:48:52.203Z,"southern Quebec, Canada",earthquake,,,,,reviewed,ott,ott
1991-07-04T11:20:30.560Z,30.446,-113.857,10,4.5,mb,,,,1.7,us,usp0004tsd,2014-11-07T00:48:51.894Z,"Gulf of California",earthquake,,,,1,reviewed,us,us
1991-07-04T07:51:22.500Z,30.151,-113.598,10,3.8,mb,,,,0.8,us,usp0004ts4,2014-11-07T00:48:51.783Z,"Gulf of California",earthquake,,,,1,reviewed,us,us
1991-07-03T09:15:53.870Z,37.6385,-118.9243333,5.968,3.6,ml,36,66,0.02162,0.04,nc,nc223565,2016-12-18T11:46:17.170Z,"Long Valley area, California",earthquake,0.21,0.35,,0,reviewed,nc,nc
1991-07-03T09:14:04.190Z,37.6341667,-118.922,5.328,3.8,ml,35,72,0.02252,0.05,nc,nc223451,2016-12-18T11:46:07.090Z,"Long Valley area, California",earthquake,0.24,0.33,,0,reviewed,nc,nc
1991-06-29T17:53:52.050Z,34.908,-116.579,5.006,4.09,ml,0,104.3,,0.317,ci,ci2021565,2016-02-05T00:29:37.980Z,"40km E of Barstow, CA",earthquake,,,,28,reviewed,ci,ci
1991-06-29T17:53:39.650Z,34.922,-116.541,5.196,3.61,ml,0,81.5,,0.151,ci,ci151520,2016-02-04T23:43:49.060Z,"40km SSE of Fort Irwin, CA",earthquake,,,,3,reviewed,ci,ci
1991-06-29T12:56:13.580Z,40.7868333,-124.4486667,20.406,3.5,ml,40,218,0.3225,0.08,nc,nc222511,2016-12-18T11:31:22.500Z,"offshore Northern California",earthquake,0.45,0.51,,0,reviewed,nc,nc
1991-06-29T08:42:28.380Z,38.0446667,-119.1358333,9.324,3.7,ml,47,196,0.03604,0.09,nc,nc222499,2016-12-18T11:30:17.170Z,"Central California",earthquake,0.47,1.56,,0,reviewed,nc,nc
